Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
TRP_brivido11,TRP,0.0,0.15780150655555555,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,TRP_brivido11,False
TRP_nompC1,TRP,63.58451347777777,86.06257826,67.61976625444444,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP_nompC1,False
TRP_nompC2,TRP,1984.770619888889,2708.8256557777777,1046.2018292444443,Expressed,False,True,False,False,False,False,Expressed,Expressed,Expressed,TRP_nompC2,False
TRP_pkd21,TRP,1.3202700524444444,5.226046871555556,9.638817416444445,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,TRP_pkd21,False
TRP1,TRP,23.19195748255556,24.75166736555556,21.190195511,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP1,False
TRP10,TRP,2796.3653724444443,2040.310669888889,89.19197269333333,Expressed,True,True,False,False,False,False,Expressed,Expressed,Expressed,TRP10,False
TRP11,TRP,2796.3653724444443,2040.310669888889,89.19197269333333,Expressed,True,True,False,False,False,False,Expressed,Expressed,Expressed,TRP11,False
TRP12,TRP,120.79897191266667,16.137765050888888,364.0352417333333,Expressed,True,False,True,False,False,False,Expressed,Expressed,Expressed,TRP12,False
TRP13,TRP,269.9103848366666,92.31129203444443,537.5138583133335,Expressed,True,False,True,False,False,False,Expressed,Expressed,Expressed,TRP13,False
TRP14,TRP,66.11795034777778,32.04825215666667,190.99950005222223,Expressed,False,False,True,False,False,True,Expressed,Expressed,Tarsi-biased,TRP14,False
TRP15,TRP,66.24829123222223,32.66351815555556,192.5403517411111,Expressed,False,False,True,False,False,True,Expressed,Expressed,Tarsi-biased,TRP15,False
TRP16,TRP,163.3077416111111,181.07790585555554,84.24052179777777,Expressed,False,True,False,False,False,False,Expressed,Expressed,Expressed,TRP16,False
TRP17,TRP,66.11795034777778,32.04825215666667,190.99950005222223,Expressed,False,False,True,False,False,True,Expressed,Expressed,Tarsi-biased,TRP14,True
TRP18,TRP,66.11795034777778,32.04825215666667,190.99950005222223,Expressed,False,False,True,False,False,True,Expressed,Expressed,Tarsi-biased,TRP14,True
TRP19,TRP,66.11795034777778,32.04825215666667,190.99950005222223,Expressed,False,False,True,False,False,True,Expressed,Expressed,Tarsi-biased,TRP14,True
TRP2,TRP,24.58282106144445,26.51637866777778,23.996425545555557,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP2,False
TRP20,TRP,163.3077416111111,181.00096794444445,84.24052179777777,Expressed,False,True,False,False,False,False,Expressed,Expressed,Expressed,TRP16,True
TRP21,TRP,1310.154587388889,415.25172382222223,885.7583634111111,Expressed,True,False,True,False,False,False,Expressed,Expressed,Expressed,TRP21,False
TRP22,TRP,1780.3994138888888,2276.881674777778,1086.1630596777777,Expressed,False,True,False,False,False,False,Expressed,Expressed,Expressed,TRP22,False
TRP23,TRP,1288.4403636111113,589.2577808222222,2196.1805103333336,Expressed,True,False,True,False,False,False,Expressed,Expressed,Expressed,TRP23,False
TRP24,TRP,1405.114939,1084.3936321666667,1471.141645,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP24,False
TRP25,TRP,164.71376406666667,185.839408,85.57310447555557,Expressed,False,True,False,False,False,False,Expressed,Expressed,Expressed,TRP16,True
TRP26,TRP,2950.935963555555,3860.651288888889,2800.1433495555557,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP26,False
TRP27,TRP,457.0901863555555,92.57299593333333,297.1906961666666,Expressed,True,False,True,False,False,False,Expressed,Expressed,Expressed,TRP27,False
TRP28,TRP,1405.114939,1084.3936321666667,1471.141645,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP28,False
TRP29,TRP,1477.5304811111112,849.322681788889,830.1747111222222,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP29,False
TRP3,TRP,2836.101781888889,2011.6133741111107,9200.54767388889,Expressed,False,False,True,False,False,True,Expressed,Expressed,Tarsi-biased,TRP3,False
TRP30,TRP,2950.935963555555,3860.651288888889,2800.1433495555557,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP30,False
TRP31,TRP,2950.935963555555,3860.651288888889,2800.1433495555557,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP31,False
TRP32,TRP,2950.935963555555,3860.651288888889,2800.1433495555557,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP32,False
TRP33,TRP,1026.359096411111,382.6578547111111,536.4105949,Expressed,True,False,False,False,False,False,Expressed,Expressed,Expressed,TRP33,False
TRP34,TRP,457.0901863555555,92.57299593333333,297.1906961666666,Expressed,True,False,True,False,False,False,Expressed,Expressed,Expressed,TRP34,False
TRP35,TRP,8074.824345444444,7628.84502011111,6650.758142,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP35,False
TRP36,TRP,516.5470270111111,336.0984495333334,665.379444588889,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP36,False
TRP37,TRP,1695.530492411111,1507.466017111111,1436.3928839999999,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP37,False
TRP38,TRP,516.5470270111111,336.0984495333334,665.379444588889,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP38,False
TRP39,TRP,8902.703596333333,6685.290197777777,5791.129407444444,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP39,False
TRP4,TRP,2836.101781888889,2011.6133741111107,9200.54767388889,Expressed,False,False,True,False,False,True,Expressed,Expressed,Tarsi-biased,TRP4,False
TRP40,TRP,8902.703596333333,6685.290197777777,5791.129407444444,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP40,False
TRP41,TRP,516.5470270111111,336.0984495333334,665.379444588889,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP41,False
TRP42,TRP,430.6413970777778,305.21564154444445,478.98092126666666,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,TRP42,False
