"group_raw","group_label","mean_PC1","mean_PC2","max_radius","mean_radius","n","hull_area","ellipse_area_95","mean_sil_width","dataset","analysis_scope","group_variable"
"Ant","Antenna",-52.8996447915224,-79.1029166715997,65.8662698106398,24.3046635335172,9,2662.50752554129,8365.60814236008,0.21040982252879,"ALL GENES","global_appendage_pca","Appendage"
"P","Maxillary palp",-78.7246765352462,69.8970702277387,19.4538076420621,12.6098082934057,9,380.056993216458,1432.62311012915,0.549786745621171,"ALL GENES","global_appendage_pca","Appendage"
"Leg","Tarsi",131.624321326768,9.20584644386082,80.2650490386514,28.7575565885736,9,1968.22579329255,7284.77114436512,0.519948568006196,"ALL GENES","global_appendage_pca","Appendage"
"Vm","Male / Virgin",107.582486235139,13.6409701142584,171.632837837948,117.682687029908,3,6661.61703156019,72393.8879359267,-0.174389713346465,"ALL GENES","antenna_sex_mating_pca","Sex / Mating status"
"VF","Female / Virgin",-43.9902124435923,7.08026247051938,17.003921086382,12.2770849375392,3,125.9388824775,1368.61745453966,0.0294281437057274,"ALL GENES","antenna_sex_mating_pca","Sex / Mating status"
"MF","Female / Mated",-63.5922737915469,-20.7212325847776,38.7331320697989,26.5818824216473,3,376.860854412424,4095.46546019037,0.113228181133971,"ALL GENES","antenna_sex_mating_pca","Sex / Mating status"
"Vm","Male / Virgin",122.365492051133,20.2591100486508,33.7569373269879,23.8946236849296,3,364.087405571504,3956.65237328311,0.295335640942997,"ALL GENES","palp_sex_mating_pca","Sex / Mating status"
"VF","Female / Virgin",-36.5987746835322,-84.3586287788213,19.0650691101833,13.7502313439265,3,153.422403748013,1667.2895261277,0.0538275446369494,"ALL GENES","palp_sex_mating_pca","Sex / Mating status"
"MF","Female / Mated",-85.766717367599,64.0995187301698,9.61556457293535,6.58154037021783,3,17.9363718987192,194.920195961616,0.4523404249922,"ALL GENES","palp_sex_mating_pca","Sex / Mating status"
"Vm","Male / Virgin",4.18404500115282,61.2198465169022,54.5129443522337,39.3547874330573,3,1309.19203695969,14227.4017196198,0.0923982289532408,"ALL GENES","tarsi_sex_mating_pca","Sex / Mating status"
"VF","Female / Virgin",91.3552172290433,-10.4123939019085,80.345901130649,53.5652917920637,3,42.2905650359929,459.584874281734,0.125421504738074,"ALL GENES","tarsi_sex_mating_pca","Sex / Mating status"
"MF","Female / Mated",-95.5392622301962,-50.8074526149945,129.975261841564,87.1885527627477,3,1971.78154521004,21427.9703474086,-0.0489879865565723,"ALL GENES","tarsi_sex_mating_pca","Sex / Mating status"
"Ant","Antenna",-14.8438303425915,11.5485293105304,8.91541560848144,2.42806238243169,9,24.1597240055718,81.3052105815462,0.644634114868198,"CHEMOSENSORY GENES (Name non-empty)","global_appendage_pca","Appendage"
"P","Maxillary palp",-3.29109586708285,-17.2538971858,1.64891460167044,1.25896094057701,9,4.30251111117072,17.6225410108926,0.715533558043026,"CHEMOSENSORY GENES (Name non-empty)","global_appendage_pca","Appendage"
"Leg","Tarsi",18.1349262096743,5.70536787526958,11.8027631552635,2.98002933645409,9,22.8650041435023,75.5863905232789,0.549521693978252,"CHEMOSENSORY GENES (Name non-empty)","global_appendage_pca","Appendage"
"Vm","Male / Virgin",16.809913715136,-0.484415121016053,25.314016583269,17.2130713837041,3,127.241989608229,1382.77872966905,-0.112824772729531,"CHEMOSENSORY GENES (Name non-empty)","antenna_sex_mating_pca","Sex / Mating status"
"VF","Female / Virgin",-7.07715009899479,2.50503707294496,1.29196274288205,0.866202187864152,3,0.186935274158605,2.03148443157206,0.0353596195554329,"CHEMOSENSORY GENES (Name non-empty)","antenna_sex_mating_pca","Sex / Mating status"
"MF","Female / Mated",-9.73276361614123,-2.02062195192891,3.03789676384343,2.36027078022432,3,5.46518513572533,59.3918861427149,0.0995326412749308,"CHEMOSENSORY GENES (Name non-empty)","antenna_sex_mating_pca","Sex / Mating status"
"Vm","Male / Virgin",16.7337731772323,-1.29304600106434,8.14289062001715,5.43487551008165,3,3.35580059208787,36.4685407233673,0.236537218653951,"CHEMOSENSORY GENES (Name non-empty)","palp_sex_mating_pca","Sex / Mating status"
"VF","Female / Virgin",-7.83977312362957,-7.50292315642117,14.6100212846934,9.74014445579738,3,1.17001724807194,12.7149455062892,-0.129106122473071,"CHEMOSENSORY GENES (Name non-empty)","palp_sex_mating_pca","Sex / Mating status"
"MF","Female / Mated",-8.89400005360272,8.79596915748551,1.37515354396715,1.03414522662392,3,1.07322190922187,11.6630401085054,0.329105678019716,"CHEMOSENSORY GENES (Name non-empty)","palp_sex_mating_pca","Sex / Mating status"
"Vm","Male / Virgin",-0.0213930130891835,-10.0097190545511,8.14864122675229,6.13562293997358,3,36.1978376717103,393.373289325059,0.115491908997452,"CHEMOSENSORY GENES (Name non-empty)","tarsi_sex_mating_pca","Sex / Mating status"
"VF","Female / Virgin",11.858845123254,3.48500526696628,10.5385505860527,7.02765679819088,3,2.47096514497986,26.8527555624672,0.16157587723247,"CHEMOSENSORY GENES (Name non-empty)","tarsi_sex_mating_pca","Sex / Mating status"
"MF","Female / Mated",-11.8374521101648,6.52471378758483,19.9038870293871,13.2693419524351,3,1.49175658391842,16.2113880837345,-0.0521179432334932,"CHEMOSENSORY GENES (Name non-empty)","tarsi_sex_mating_pca","Sex / Mating status"
