"dataset","analysis_scope","group_variable","metric","group1","group2","mean_pairwise_distance","value_definition"
"ALL GENES","global_appendage_pca","Appendage","mean pairwise Euclidean distance","Ant","P",220.559208055333,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","global_appendage_pca","Appendage","mean pairwise Euclidean distance","Ant","Leg",294.354433650539,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","global_appendage_pca","Appendage","mean pairwise Euclidean distance","P","Leg",295.422268626018,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","antenna_sex_mating_pca","Sex / Mating status within antenna","mean pairwise Euclidean distance","Vm","VF",201.38523208267,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","antenna_sex_mating_pca","Sex / Mating status within antenna","mean pairwise Euclidean distance","Vm","MF",210.877730078595,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","antenna_sex_mating_pca","Sex / Mating status within antenna","mean pairwise Euclidean distance","VF","MF",128.282374389434,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","palp_sex_mating_pca","Sex / Mating status within maxillary palp","mean pairwise Euclidean distance","Vm","VF",104.274531161567,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","palp_sex_mating_pca","Sex / Mating status within maxillary palp","mean pairwise Euclidean distance","Vm","MF",120.14340740569,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","palp_sex_mating_pca","Sex / Mating status within maxillary palp","mean pairwise Euclidean distance","VF","MF",99.2128154432679,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","tarsi_sex_mating_pca","Sex / Mating status within tarsi","mean pairwise Euclidean distance","Vm","VF",126.944700925797,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","tarsi_sex_mating_pca","Sex / Mating status within tarsi","mean pairwise Euclidean distance","Vm","MF",142.928419231255,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"ALL GENES","tarsi_sex_mating_pca","Sex / Mating status within tarsi","mean pairwise Euclidean distance","VF","MF",159.215557963124,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","global_appendage_pca","Appendage","mean pairwise Euclidean distance","Ant","P",97.6924311616284,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","global_appendage_pca","Appendage","mean pairwise Euclidean distance","Ant","Leg",95.7123147733962,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","global_appendage_pca","Appendage","mean pairwise Euclidean distance","P","Leg",69.2929628133637,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","antenna_sex_mating_pca","Sex / Mating status within antenna","mean pairwise Euclidean distance","Vm","VF",40.967060606139,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","antenna_sex_mating_pca","Sex / Mating status within antenna","mean pairwise Euclidean distance","Vm","MF",42.3847000710967,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","antenna_sex_mating_pca","Sex / Mating status within antenna","mean pairwise Euclidean distance","VF","MF",22.5018175399926,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","palp_sex_mating_pca","Sex / Mating status within maxillary palp","mean pairwise Euclidean distance","Vm","VF",21.8686891406522,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","palp_sex_mating_pca","Sex / Mating status within maxillary palp","mean pairwise Euclidean distance","Vm","MF",21.8929714824975,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","palp_sex_mating_pca","Sex / Mating status within maxillary palp","mean pairwise Euclidean distance","VF","MF",18.4487921465049,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","tarsi_sex_mating_pca","Sex / Mating status within tarsi","mean pairwise Euclidean distance","Vm","VF",29.7423901225777,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","tarsi_sex_mating_pca","Sex / Mating status within tarsi","mean pairwise Euclidean distance","Vm","MF",31.6921799354493,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
"CHEMOSENSORY GENES (Name non-empty)","tarsi_sex_mating_pca","Sex / Mating status within tarsi","mean pairwise Euclidean distance","VF","MF",33.9648740950763,"Average distance between all samples in group1 and all samples in group2, calculated on log2(x + 1) expression values"
