Appendage,Gene,Name,Category,LFC_sex,padj_sex,Sex_bias,LFC_mating,padj_mating,GO_Domain,GO_Name,Chemosensory_family,Dmel_hit,Dmel_gene_symbol,Dmel_protein_description,Dmel_evalue,Dmel_pct_aa_identity,Dmel_query_coverage_pct,Dmel_bitscore,NCBI_gene_name
Antenna,XM_038051220.1,cuticle protein 16.5-like,Sex-and-mating-regulated: direction reversed by mating,9.360232565,2.83693657184456e-08,Female-biased,-7.52930062,3.65666231804851e-09,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,cuticle protein 16.5-like
Antenna,XM_038051153.1,cuticle protein 16.5-like,Sex-and-mating-regulated: direction reversed by mating,6.880697004,5.9589960279003e-08,Female-biased,-3.831271082,1.73247120458993e-08,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,cuticle protein 16.5-like
Antenna,XM_038048398.1,female-specific protein transformer,Sex-dimorphic only,2.926476854,8.07085658932437e-10,Female-biased,0.243349971,0.387509631,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,female-specific protein transformer
Antenna,XM_038050038.1,uncharacterized LOC119648342,Sex-dimorphic only,-2.63331544,7.72457617301095e-05,Male-biased,-0.266012513,0.918545455,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119648342
Antenna,XM_038052595.1,uncharacterized LOC119650087,Sex-dimorphic only,-2.392148139,0.00056911,Male-biased,0.317881189,0.884510138,Unknown,Unknown,NA,TRUE,NP_001259713.1| uncharacterized protein Dmel_CG14221,"NP_001259713.1| uncharacterized protein Dmel_CG14221, isoform C",1.64e-138,44.9,67.4,422.6,uncharacterized LOC119650087
Antenna,XM_038052596.1,uncharacterized LOC119650087,Sex-dimorphic only,-2.3848002,0.000591249,Male-biased,0.310540323,0.884510138,Unknown,Unknown,NA,TRUE,NP_001259713.1| uncharacterized protein Dmel_CG14221,"NP_001259713.1| uncharacterized protein Dmel_CG14221, isoform C",2.32e-135,44.5,65,415.2,uncharacterized LOC119650087
Antenna,XM_038048397.1,female-specific protein transformer,Sex-dimorphic only,2.287412921,8.18604528441237e-05,Female-biased,0.333154775,0.118750731,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,female-specific protein transformer
Antenna,XM_038067280.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-2.270007683,2.15856623831169e-17,Male-biased,-2.307260818,4.29615193866335e-22,Unknown,Unknown,NA,TRUE,NP_609141.1| uncharacterized protein Dmel_CG7214,NP_609141.1| uncharacterized protein Dmel_CG7214,4.16e-11,43.8,65.6,60.1,adult cuticle protein 1-like
Antenna,XM_038048810.1,calphotin-like,Sex-and-mating-regulated: direction reinforced by mating,-2.04631647,1.43375140346632e-07,Male-biased,-1.309730174,1.27972347624716e-05,Unknown,Unknown,NA,TRUE,NP_727758.1| uncharacterized protein Dmel_CG32603,NP_727758.1| uncharacterized protein Dmel_CG32603,4.96e-09,43.6,24.5,59.7,calphotin-like
Antenna,XM_038070449.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reversed by mating,2.024343332,1.36679972718133e-12,Female-biased,-1.67213312,2.31726034282568e-13,Unknown,Unknown,NA,TRUE,NP_609141.1| uncharacterized protein Dmel_CG7214,NP_609141.1| uncharacterized protein Dmel_CG7214,3.56e-09,69.4,22.5,53.1,adult cuticle protein 1-like
Antenna,XM_038070142.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-2.02302594,3.59607340765374e-13,Male-biased,-3.628793491,3.22691798459213e-52,Unknown,Unknown,NA,TRUE,NP_477115.1| adult cuticle protein 1,NP_477115.1| adult cuticle protein 1,8.20e-17,49.7,70.6,74.3,adult cuticle protein 1-like
Antenna,XM_038049934.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-2.016748984,1.5339858505549e-16,Male-biased,-2.131629096,1.41075657535774e-20,Unknown,Unknown,NA,TRUE,NP_609141.1| uncharacterized protein Dmel_CG7214,NP_609141.1| uncharacterized protein Dmel_CG7214,6.50e-14,46.6,59.5,67.4,adult cuticle protein 1-like
Antenna,XM_038049425.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-2.011969267,3.0932360695134e-25,Male-biased,-1.944915188,6.15758142917033e-25,Unknown,Unknown,NA,TRUE,NP_609141.1| uncharacterized protein Dmel_CG7214,NP_609141.1| uncharacterized protein Dmel_CG7214,5.75e-11,38.9,75,59.7,adult cuticle protein 1-like
Antenna,XM_038050886.1,uncharacterized LOC119648966,Sex-dimorphic only,2.004867881,2.20768000287802e-06,Female-biased,0.10067894,0.883476067,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119648966
Antenna,XM_038050887.1,uncharacterized LOC119648966,Sex-dimorphic only,2.004867881,2.20768000287802e-06,Female-biased,0.10067894,0.883476067,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119648966
Antenna,XM_038050888.1,uncharacterized LOC119648966,Sex-dimorphic only,2.004867881,2.20768000287802e-06,Female-biased,0.10067894,0.883476067,Unknown,Unknown,NA,FALSE,,No significant Dmel hit,,,,,uncharacterized LOC119648966
Antenna,XM_038070418.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-2.003396767,1.91778691567901e-16,Male-biased,-3.821406182,3.92605200953725e-137,Unknown,Unknown,NA,TRUE,NP_477115.1| adult cuticle protein 1,NP_477115.1| adult cuticle protein 1,1.99e-14,45.3,56,68.2,adult cuticle protein 1-like
Antenna,XM_038064422.1,major royal jelly protein 1,Sex-dimorphic only,-1.983930952,0.000390817,Male-biased,-0.28135337,0.884763839,Unknown,Unknown,NA,TRUE,NP_524344.1| yellow-e,NP_524344.1| yellow-e,3.78e-179,57.1,56.2,525,major royal jelly protein 1
Antenna,XM_038064423.1,major royal jelly protein 1,Sex-dimorphic only,-1.983930952,0.000390817,Male-biased,-0.28135337,0.884763839,Unknown,Unknown,NA,TRUE,NP_524344.1| yellow-e,NP_524344.1| yellow-e,1.77e-179,57.1,57.3,525.4,major royal jelly protein 1
Antenna,XM_038068340.1,circadian clock-controlled protein daywake,Sex-dimorphic only,-1.940032163,3.39885178518635e-20,Male-biased,0.815075277,5.08449503750233e-07,Unknown,Unknown,NA,TRUE,NP_651265.1| juvenile hormone binding protein 12,NP_651265.1| juvenile hormone binding protein 12,6.52e-29,26.2,77.2,112.1,circadian clock-controlled protein daywake
Antenna,XM_038059093.1,uncharacterized LOC119653933,Sex-dimorphic only,1.934869168,6.81537069873706e-05,Female-biased,-0.394484346,0.504812462,Unknown,Unknown,NA,TRUE,AAA19905.1| E239.9-1,"AAA19905.1| E239.9-1, partial",1.77e-89,33.3,82.3,297.7,uncharacterized LOC119653933
Antenna,XM_038060395.1,uncharacterized LOC119654827,Sex-and-mating-regulated: direction reinforced by mating,-1.897669083,4.60649769040196e-08,Male-biased,-1.407690874,9.66280688581201e-06,Unknown,Unknown,NA,TRUE,NP_569907.1| uncharacterized protein Dmel_CG14770,NP_569907.1| uncharacterized protein Dmel_CG14770,1.76e-28,76.6,27.7,105.9,uncharacterized LOC119654827
Antenna,XM_038050910.1,uncharacterized LOC119648955,Sex-dimorphic only,1.873330695,5.89772111542665e-06,Female-biased,-0.315676412,0.637696697,Unknown,Unknown,NA,TRUE,AAN87269.1| ORF,AAN87269.1| ORF,4.53e-149,34.2,88,491.9,uncharacterized LOC119648955
Antenna,XM_038067486.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-1.811914861,4.44872418686292e-10,Male-biased,-2.169598398,4.09450250617195e-17,Unknown,Unknown,NA,TRUE,NP_609141.1| uncharacterized protein Dmel_CG7214,NP_609141.1| uncharacterized protein Dmel_CG7214,4.25e-11,44.1,76.3,59.7,adult cuticle protein 1-like
Antenna,XM_038046559.1,myosin-2 heavy chain,Sex-dimorphic only,-1.78534444,0.000217095,Male-biased,-0.184917752,0.888274552,Unknown,Unknown,NA,TRUE,AAM50539.1| AT10315p,AAM50539.1| AT10315p,0.00e+00,45.9,57.3,574.3,myosin-2 heavy chain
Antenna,XM_038068766.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-1.767636688,5.62722195338505e-16,Male-biased,-3.030197091,1.42094576799994e-83,Unknown,Unknown,NA,TRUE,NP_477115.1| adult cuticle protein 1,NP_477115.1| adult cuticle protein 1,7.16e-16,44.5,54.5,72,adult cuticle protein 1-like
Antenna,XM_038051594.1,clavesin-1,Sex-dimorphic only,-1.74308855,9.49913109212811e-20,Male-biased,0.20972414,0.568536332,Unknown,Unknown,NA,TRUE,NP_648579.3| uncharacterized protein Dmel_CG10657,NP_648579.3| uncharacterized protein Dmel_CG10657,0.00e+00,78.1,73.9,556.6,clavesin-1
Antenna,XM_038069819.1,farnesol dehydrogenase-like,Sex-and-mating-regulated: direction reinforced by mating,-1.735724258,1.04604124083901e-09,Male-biased,-1.243586979,3.07817201609306e-08,Unknown,Unknown,NA,TRUE,NP_572746.1| uncharacterized protein Dmel_CG9360,NP_572746.1| uncharacterized protein Dmel_CG9360,6.21e-91,53.4,78.9,272.3,farnesol dehydrogenase-like
Antenna,XM_038070450.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reversed by mating,1.71835823,1.93197850759996e-08,Female-biased,-1.973155219,6.52899313156294e-19,Unknown,Unknown,NA,TRUE,NP_609141.1| uncharacterized protein Dmel_CG7214,NP_609141.1| uncharacterized protein Dmel_CG7214,5.01e-11,75,24.1,57.8,adult cuticle protein 1-like
Antenna,XM_038062049.1,delta-like protein 4,Sex-dimorphic only,-1.696071424,1.72953257180976e-09,Male-biased,0.599434767,0.049044342,Unknown,Unknown,NA,TRUE,NP_608372.1| asperous,"NP_608372.1| asperous, isoform A",0.00e+00,73,70.8,604.4,delta-like protein 4
Antenna,XM_038062050.1,delta-like protein 4,Sex-dimorphic only,-1.696071424,1.72953257180976e-09,Male-biased,0.599434767,0.049044342,Unknown,Unknown,NA,TRUE,NP_608372.1| asperous,"NP_608372.1| asperous, isoform A",0.00e+00,73.2,70.7,604.4,delta-like protein 4
Antenna,XM_038062053.1,delta-like protein 4,Sex-dimorphic only,-1.696071424,1.72953257180976e-09,Male-biased,0.599434767,0.049044342,Unknown,Unknown,NA,TRUE,NP_001188676.1| asperous,"NP_001188676.1| asperous, isoform B",0.00e+00,73,75.4,596.3,delta-like protein 4
Antenna,XM_038070401.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-1.695906428,4.32079722367253e-05,Male-biased,-3.226176183,1.01947758670557e-28,Unknown,Unknown,NA,TRUE,AAM29629.1| RH70420p,AAM29629.1| RH70420p,9.67e-18,49.3,73.2,77,adult cuticle protein 1-like
Antenna,XM_038063798.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-1.657218433,9.41549012636021e-20,Male-biased,-2.797637982,6.25623024452385e-55,Unknown,Unknown,NA,TRUE,AAM29629.1| RH70420p,AAM29629.1| RH70420p,4.04e-18,45,58.4,79.3,adult cuticle protein 1-like
Antenna,XM_038070599.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-1.649996557,1.96968769158774e-11,Male-biased,-1.175166489,1.14965639092489e-07,Unknown,Unknown,NA,TRUE,AAM29629.1| RH70420p,AAM29629.1| RH70420p,2.29e-15,41.6,55,70.9,adult cuticle protein 1-like
Antenna,XM_038050259.1,uncharacterized LOC119648493,Sex-dimorphic only,-1.629213598,3.34396993346241e-12,Male-biased,-0.008300909,0.996080705,Unknown,Unknown,NA,TRUE,NP_788491.2| uncharacterized protein Dmel_CG43897,"NP_788491.2| uncharacterized protein Dmel_CG43897, isoform E",2.89e-45,73.3,5.5,167.9,uncharacterized LOC119648493
Antenna,XM_038070448.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reversed by mating,1.616984684,9.11174481152707e-06,Female-biased,-2.201355441,3.78812273577193e-17,Unknown,Unknown,NA,TRUE,NP_609141.1| uncharacterized protein Dmel_CG7214,NP_609141.1| uncharacterized protein Dmel_CG7214,1.54e-10,75,21.4,57,adult cuticle protein 1-like
Antenna,XM_038068545.1,protein takeout-like,Sex-dimorphic only,1.5812797,8.46157554832785e-14,Female-biased,0.528913109,0.003946556,Unknown,Unknown,NA,TRUE,NP_001287525.1| takeout,"NP_001287525.1| takeout, isoform B",1.64e-56,41.9,71.4,184.1,protein takeout-like
Antenna,XM_038064765.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-1.565667288,1.96188255827093e-05,Male-biased,-2.490444674,5.12045686888126e-37,Unknown,Unknown,NA,TRUE,AAM29629.1| RH70420p,AAM29629.1| RH70420p,1.08e-11,44.1,65,61.2,adult cuticle protein 1-like
Antenna,XM_038059766.1,uncharacterized LOC119654392,Sex-dimorphic only,-1.559202891,7.94339610645444e-05,Male-biased,-0.69470786,0.332225319,Unknown,Unknown,NA,TRUE,NP_611728.1| uncharacterized protein Dmel_CG13532,NP_611728.1| uncharacterized protein Dmel_CG13532,2.17e-55,43.2,34.4,189.9,uncharacterized LOC119654392
Antenna,XM_038070466.1,adult cuticle protein 1-like,Sex-and-mating-regulated: direction reinforced by mating,-1.556343842,1.04380750158891e-05,Male-biased,-3.425105567,0.000107804,Unknown,Unknown,NA,TRUE,AAM29629.1| RH70420p,AAM29629.1| RH70420p,2.68e-17,46.2,78.8,75.9,adult cuticle protein 1-like
Antenna,XM_038057907.1,farnesol dehydrogenase-like,Sex-dimorphic only,1.537865331,1.40875221808343e-06,Female-biased,-0.222413983,0.826078451,Unknown,Unknown,NA,TRUE,NP_572746.1| uncharacterized protein Dmel_CG9360,NP_572746.1| uncharacterized protein Dmel_CG9360,1.36e-96,54.6,73.7,287.3,farnesol dehydrogenase-like
Antenna,XM_038068580.1,alpha-tocopherol transfer protein-like,Sex-dimorphic only,-1.441220658,3.89590424344095e-08,Male-biased,-0.451060847,0.08916518,Unknown,Unknown,NA,TRUE,AAN71441.1| RE58223p,AAN71441.1| RE58223p,2.12e-180,76.5,80.9,504.2,alpha-tocopherol transfer protein-like
Antenna,XM_038068582.1,alpha-tocopherol transfer protein-like,Sex-dimorphic only,-1.439643511,6.15525045562204e-08,Male-biased,-0.459729256,0.075775187,Unknown,Unknown,NA,TRUE,AAN71441.1| RE58223p,AAN71441.1| RE58223p,7.02e-180,76.9,77.7,503.4,alpha-tocopherol transfer protein-like
Antenna,XM_038069702.1,protein yellow,Sex-dimorphic only,-1.422487054,6.14413396814484e-07,Male-biased,-0.617723874,0.085155534,Unknown,Unknown,NA,TRUE,NP_651912.3| yellow-h,NP_651912.3| yellow-h,1.76e-175,55.8,78.7,503.8,protein yellow
Antenna,XM_038050026.1,uncharacterized LOC119648332,Sex-dimorphic only,-1.421387592,3.12804495601586e-06,Male-biased,0.114743918,0.928337995,Unknown,Unknown,NA,TRUE,NP_730432.1| uncharacterized protein Dmel_CG9368,"NP_730432.1| uncharacterized protein Dmel_CG9368, isoform A",6.62e-11,39.3,23.3,61.6,uncharacterized LOC119648332
Antenna,XM_038053284.1,coiled-coil domain-containing protein 102A,Sex-dimorphic only,1.416152833,7.89668893119635e-05,Female-biased,-0.140195926,0.846515244,Unknown,Unknown,NA,TRUE,NP_001097099.1| uncharacterized protein Dmel_CG31638,"NP_001097099.1| uncharacterized protein Dmel_CG31638, isoform B",0.00e+00,74.8,70.8,731.1,coiled-coil domain-containing protein 102A
