Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
HillPPK38,PPK38,HillPPK38,XM_038046613.1,Hermetia illucens,Hill,PPK38,PPK,XP_037902541.1,XM_038046613.1,Pickpocket / degenerin / epithelial sodium channel PPK38 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK2,PPK2,HillPPK2,XM_038047384.1,Hermetia illucens,Hill,PPK2,PPK,XP_037903312.1,XM_038047384.1,Pickpocket / degenerin / epithelial sodium channel PPK2 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK37,PPK37,HillPPK37,XM_038051588.1,Hermetia illucens,Hill,PPK37,PPK,XP_037907516.1,XM_038051588.1,Pickpocket / degenerin / epithelial sodium channel PPK37 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK39,PPK39,HillPPK39,XM_038051665.1,Hermetia illucens,Hill,PPK39,PPK,XP_037907593.1,XM_038051665.1,Pickpocket / degenerin / epithelial sodium channel PPK39 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK36,PPK36,HillPPK36,XM_038054080.1,Hermetia illucens,Hill,PPK36,PPK,XP_037910008.1,XM_038054080.1,Pickpocket / degenerin / epithelial sodium channel PPK36 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK34,PPK34,HillPPK34,XM_038054140.1,Hermetia illucens,Hill,PPK34,PPK,XP_037910068.1,XM_038054140.1,Pickpocket / degenerin / epithelial sodium channel PPK34 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK7,PPK7,HillPPK7,XM_038054963.1,Hermetia illucens,Hill,PPK7,PPK,XP_037910891.1,XM_038054963.1,Pickpocket / degenerin / epithelial sodium channel PPK7 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK23,PPK23,HillPPK23,XM_038055974.1,Hermetia illucens,Hill,PPK23,PPK,XP_037911902.1,XM_038055974.1,Pickpocket / degenerin / epithelial sodium channel PPK23 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK22,PPK22,HillPPK22,XM_038055975.1,Hermetia illucens,Hill,PPK22,PPK,XP_037911903.1,XM_038055975.1,Pickpocket / degenerin / epithelial sodium channel PPK22 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK10,PPK10,HillPPK10,XM_038056083.1,Hermetia illucens,Hill,PPK10,PPK,XP_037912011.1,XM_038056083.1,Pickpocket / degenerin / epithelial sodium channel PPK10 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK11,PPK11,HillPPK11,XM_038056084.1,Hermetia illucens,Hill,PPK11,PPK,XP_037912012.1,XM_038056084.1,Pickpocket / degenerin / epithelial sodium channel PPK11 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK9,PPK9,HillPPK9,XM_038056085.1,Hermetia illucens,Hill,PPK9,PPK,XP_037912013.1,XM_038056085.1,Pickpocket / degenerin / epithelial sodium channel PPK9 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK8,PPK8,HillPPK8,XM_038057200.1,Hermetia illucens,Hill,PPK8,PPK,XP_037913128.1,XM_038057200.1,Pickpocket / degenerin / epithelial sodium channel PPK8 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK21,PPK21,HillPPK21,XM_038057575.1,Hermetia illucens,Hill,PPK21,PPK,XP_037913503.1,XM_038057575.1,Pickpocket / degenerin / epithelial sodium channel PPK21 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillPPK12,PPK12,HillPPK12,XM_038057576.1,Hermetia illucens,Hill,PPK12,PPK,XP_037913504.1,XM_038057576.1,Pickpocket / degenerin / epithelial sodium channel PPK12 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
