Hill_ID,Hill_gene_symbol,Transcript_ID,Protein_accession,Family,Nearest_outgroup_genes,Nearest_outgroup_species,n_Hill_in_clade,n_outgroup_in_clade,Bootstrap_support,Orthology_type,Putative_function_from_Dmel,Notes
HillGR1,GR1,XM_038054377.1,XP_037910305.1,GR,DmelGR21a; AaegGR1,Drosophila melanogaster; Aedes aegypti,2,2,100,ortholog_group,CO2 detection (along with GR63a),CO2-receptor clade — candidate CO2 detection gene
HillGR2,GR2,XM_038056090.1,XP_037912018.1,GR,DmelGR21a; AaegGR1,Drosophila melanogaster; Aedes aegypti,2,2,100,ortholog_group,CO2 detection (along with GR63a),CO2-receptor clade — candidate CO2 detection gene
HillGR3,GR3,XM_038052002.1,XP_037907930.1,GR,AaegGR2,Aedes aegypti,2,1,100,ortholog_group,Unknown,CO2-receptor clade — candidate CO2 detection gene
HillGR4,GR4,XM_038056147.1,XP_037912075.1,GR,AaegGR2,Aedes aegypti,1,1,98,1:1_ortholog,Unknown,CO2-receptor clade — candidate CO2 detection gene
HillGR5,GR5,XM_038051358.1,XP_037907286.1,GR,DmelGR63a,Drosophila melanogaster,1,1,87,1:1_ortholog,CO2 detection (along with GR21a),CO2-receptor clade — candidate CO2 detection gene
HillGR6,GR6,XM_038060222.1,XP_037916150.1,GR,DmelGR93a; DmelGR93d; DmelGR92a; DmelGR93c; DmelGR93b,Drosophila melanogaster,3,5,98,ortholog_group,Bitter taste receptor; Putative gustatory receptor,
HillGR7,GR7,XM_038060221.1,XP_037916149.1,GR,DmelGR93a; DmelGR93d; DmelGR92a; DmelGR93c; DmelGR93b,Drosophila melanogaster,3,5,98,ortholog_group,Bitter taste receptor; Putative gustatory receptor,
HillGR8,GR8,XM_038060223.1,XP_037916151.1,GR,DmelGR93a; DmelGR93d; DmelGR92a; DmelGR93c; DmelGR93b,Drosophila melanogaster,3,5,98,ortholog_group,Bitter taste receptor; Putative gustatory receptor,
HillGR9,GR9,XM_038047879.1,XP_037903807.1,GR,DmelGR28bC; DmelGR28bB; DmelGR28bD; DmelGR28bE; DmelGR28bA,Drosophila melanogaster,3,5,94,ortholog_group,Light/temperature receptor,
HillGR10,GR10,XM_038047880.1,XP_037903808.1,GR,DmelGR28bC; DmelGR28bB; DmelGR28bD; DmelGR28bE; DmelGR28bA,Drosophila melanogaster,3,5,94,ortholog_group,Light/temperature receptor,
HillGR11,GR11,XM_038047881.1,XP_037903809.1,GR,DmelGR28bC; DmelGR28bB; DmelGR28bD; DmelGR28bE; DmelGR28bA,Drosophila melanogaster,3,5,94,ortholog_group,Light/temperature receptor,
