Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
DmelOR1a,DmelOR1a,,,Drosophila melanogaster,Dmel,OR1a,OR,Q9W5G6.2,Q9W5G6.2,RecName: Full=Odorant receptor 1a,FlyBase/NCBI
DmelOR2a,DmelOR2a,,,Drosophila melanogaster,Dmel,OR2a,OR,O46077.2,O46077.2,RecName: Full=Odorant receptor 2a,FlyBase/NCBI
DmelOR7a,DmelOR7a,,,Drosophila melanogaster,Dmel,OR7a,OR,Q9W3I5.1,Q9W3I5.1,RecName: Full=Odorant receptor 7a,FlyBase/NCBI
DmelOR9a,DmelOR9a,,,Drosophila melanogaster,Dmel,OR9a,OR,Q9W2U9.1,Q9W2U9.1,RecName: Full=Odorant receptor 9a,FlyBase/NCBI
DmelOR10a,DmelOR10a,,,Drosophila melanogaster,Dmel,OR10a,OR,Q9VYZ1.1,Q9VYZ1.1,RecName: Full=Odorant receptor 10a,FlyBase/NCBI
DmelOR13a,DmelOR13a,,,Drosophila melanogaster,Dmel,OR13a,OR,Q9VXL0.2,Q9VXL0.2,RecName: Full=Odorant receptor 13a,FlyBase/NCBI
DmelOR19a,DmelOR19a,,,Drosophila melanogaster,Dmel,OR19a,OR,Q9I816.2,Q9I816.2,RecName: Full=Odorant receptor 19a,FlyBase/NCBI
DmelOR19b,DmelOR19b,,,Drosophila melanogaster,Dmel,OR19b,OR,Q8IRZ5.1,Q8IRZ5.1,RecName: Full=Putative odorant receptor 19b,FlyBase/NCBI
DmelOR22a,DmelOR22a,,,Drosophila melanogaster,Dmel,OR22a,OR,P81909.1,P81909.1,RecName: Full=Odorant receptor 22a,FlyBase/NCBI
DmelOR22b,DmelOR22b,,,Drosophila melanogaster,Dmel,OR22b,OR,P81910.3,P81910.3,RecName: Full=Odorant receptor 22b,FlyBase/NCBI
DmelOR22c,DmelOR22c,,,Drosophila melanogaster,Dmel,OR22c,OR,P81911.2,P81911.2,RecName: Full=Odorant receptor 22c,FlyBase/NCBI
DmelOR23a,DmelOR23a,,,Drosophila melanogaster,Dmel,OR23a,OR,P81912.1,P81912.1,RecName: Full=Odorant receptor 23a,FlyBase/NCBI
DmelOR24a,DmelOR24a,,,Drosophila melanogaster,Dmel,OR24a,OR,P81913.4,P81913.4,RecName: Full=Odorant receptor 24a,FlyBase/NCBI
DmelOR30a,DmelOR30a,,,Drosophila melanogaster,Dmel,OR30a,OR,Q9VLE5.4,Q9VLE5.4,RecName: Full=Odorant receptor 30a,FlyBase/NCBI
DmelOR33a,DmelOR33a,,,Drosophila melanogaster,Dmel,OR33a,OR,P81914.1,P81914.1,RecName: Full=Odorant receptor 33a,FlyBase/NCBI
DmelOR33b,DmelOR33b,,,Drosophila melanogaster,Dmel,OR33b,OR,P81915.1,P81915.1,RecName: Full=Odorant receptor 33b,FlyBase/NCBI
DmelOR33c,DmelOR33c,,,Drosophila melanogaster,Dmel,OR33c,OR,P81916.1,P81916.1,RecName: Full=Odorant receptor 33c,FlyBase/NCBI
DmelOR35a,DmelOR35a,,,Drosophila melanogaster,Dmel,OR35a,OR,Q9V3Q2.3,Q9V3Q2.3,RecName: Full=Odorant receptor 35a,FlyBase/NCBI
DmelOR42a,DmelOR42a,,,Drosophila melanogaster,Dmel,OR42a,OR,Q9V9I2.3,Q9V9I2.3,RecName: Full=Odorant receptor 42a,FlyBase/NCBI
DmelOR42b,DmelOR42b,,,Drosophila melanogaster,Dmel,OR42b,OR,Q9V9I4.2,Q9V9I4.2,RecName: Full=Odorant receptor 42b,FlyBase/NCBI
