Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
HillIR70,IR70,HillIR70,XM_038046724.1,Hermetia illucens,Hill,IR70,IR,XP_037902652.1,XM_038046724.1,Ionotropic receptor IR70 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR71,IR71,HillIR71,XM_038047149.1,Hermetia illucens,Hill,IR71,IR,XP_037903077.1,XM_038047149.1,Ionotropic receptor IR71 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR69,IR69,HillIR69,XM_038047158.1,Hermetia illucens,Hill,IR69,IR,XP_037903086.1,XM_038047158.1,Ionotropic receptor IR69 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR72,IR72,HillIR72,XM_038047191.1,Hermetia illucens,Hill,IR72,IR,XP_037903119.1,XM_038047191.1,Ionotropic receptor IR72 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR80,IR80,HillIR80,XM_038047247.1,Hermetia illucens,Hill,IR80,IR,XP_037903175.1,XM_038047247.1,Ionotropic receptor IR80 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR43,IR43,HillIR43,XM_038047285.1,Hermetia illucens,Hill,IR43,IR,XP_037903213.1,XM_038047285.1,Ionotropic receptor IR43 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR73,IR73,HillIR73,XM_038047288.1,Hermetia illucens,Hill,IR73,IR,XP_037903216.1,XM_038047288.1,Ionotropic receptor IR73 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR79,IR79,HillIR79,XM_038047294.1,Hermetia illucens,Hill,IR79,IR,XP_037903222.1,XM_038047294.1,Ionotropic receptor IR79 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR45,IR45,HillIR45,XM_038047309.1,Hermetia illucens,Hill,IR45,IR,XP_037903237.1,XM_038047309.1,Ionotropic receptor IR45 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR44,IR44,HillIR44,XM_038047312.1,Hermetia illucens,Hill,IR44,IR,XP_037903240.1,XM_038047312.1,Ionotropic receptor IR44 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR78,IR78,HillIR78,XM_038047321.1,Hermetia illucens,Hill,IR78,IR,XP_037903249.1,XM_038047321.1,Ionotropic receptor IR78 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR81,IR81,HillIR81,XM_038047326.1,Hermetia illucens,Hill,IR81,IR,XP_037903254.1,XM_038047326.1,Ionotropic receptor IR81 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR94,IR94,HillIR94,XM_038047643.1,Hermetia illucens,Hill,IR94,IR,XP_037903571.1,XM_038047643.1,Ionotropic receptor IR94 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR82,IR82,HillIR82,XM_038048711.1,Hermetia illucens,Hill,IR82,IR,XP_037904639.1,XM_038048711.1,Ionotropic receptor IR82 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR85,IR85,HillIR85,XM_038048724.1,Hermetia illucens,Hill,IR85,IR,XP_037904652.1,XM_038048724.1,Ionotropic receptor IR85 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR86,IR86,HillIR86,XM_038048725.1,Hermetia illucens,Hill,IR86,IR,XP_037904653.1,XM_038048725.1,Ionotropic receptor IR86 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR87,IR87,HillIR87,XM_038048726.1,Hermetia illucens,Hill,IR87,IR,XP_037904654.1,XM_038048726.1,Ionotropic receptor IR87 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillIR89,IR89,HillIR89,XM_038048731.1,Hermetia illucens,Hill,IR89,IR,XP_037904659.1,XM_038048731.1,Ionotropic receptor IR89 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
