Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
AaegPyx,AAEL004179-RA,,,Aedes aegypti,Aaeg,Pyx,TRP,,AAEL004179-RA,Transient receptor potential channel Pyx [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegPain,AAEL006835-RA,,,Aedes aegypti,Aaeg,Pain,TRP,,AAEL006835-RA,Transient receptor potential channel Pain [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegPainless2,AAEL026603-RB,,,Aedes aegypti,Aaeg,Painless2,TRP,,AAEL026603-RB,Transient receptor potential channel Painless2 [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegSei,AAEL019443-RG,,,Aedes aegypti,Aaeg,Sei,TRP,,AAEL019443-RG,Transient receptor potential channel Sei [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegNan,AAEL001123-RA,,,Aedes aegypti,Aaeg,Nan,TRP,,AAEL001123-RA,Transient receptor potential channel Nan [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegTrpml,AAEL001557-RF,,,Aedes aegypti,Aaeg,Trpml,TRP,,AAEL001557-RF,Transient receptor potential channel Trpml [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegTrpgamma,AAEL005014-RB,,,Aedes aegypti,Aaeg,Trpgamma,TRP,,AAEL005014-RB,Transient receptor potential channel Trpgamma [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegTrp,AAEL005437-RA,,,Aedes aegypti,Aaeg,Trp,TRP,,AAEL005437-RA,Transient receptor potential channel Trp [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegNompC,AAEL019818-RD,,,Aedes aegypti,Aaeg,NompC,TRP,,AAEL019818-RD,Transient receptor potential channel NompC [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
AaegIav,AAEL020482-RA,,,Aedes aegypti,Aaeg,Iav,TRP,,AAEL020482-RA,Transient receptor potential channel Iav [Aedes aegypti]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,VectorBase (Aedes aegypti LVPAgWG)
