Hill_ID,Hill_gene_symbol,Transcript_ID,Protein_accession,Family,Nearest_outgroup_genes,Nearest_outgroup_species,n_Hill_in_clade,n_outgroup_in_clade,Bootstrap_support,Orthology_type,Putative_function_from_Dmel,Notes
HillIR1,Ir1,XM_038052392.1,XP_037908320.1,IR,CstyIR76b;DmelIR76b,Calliphora stygia;Drosophila melanogaster,2,2,94,ortholog_group,Co-receptor; salt/amine detection,
HillIR10,Ir10,XM_038070006.1,XP_037906463.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR100,Ir100,XM_038063821.1,XP_037919749.1,IR,DmelIR48c;DmelIR48b;DmelIR60e;DmelIR67c;DmelIR67b;DmelIR56b;DmelIR56c;DmelIR62a;DmelIR51b;CstyIR103;DmelIR56d;DmelIR56a;DmelIR47a;DmelIR94a;DmelIR94c;DmelIR94b;DmelIR54a;CstyIR105;DmelIR52d;DmelIR52c;DmelIR52b;DmelIR52a;DmelIR94d;DmelIR60d;DmelIR60b;DmelIR94e;DmelIR94f;DmelIR20a;DmelIR94h;DmelIR94g;AaegIR106;AaegIR105;AaegIR107;AaegIR110;AaegIR109;AaegIR108;AaegIR111;AaegIR112;AaegIR117;AaegIR116;AaegIR113;AaegIR115;AaegIR114;AaegIR151;AaegIR154;AaegIR153;AaegIR152;AaegIR156;AaegIR155;AaegIR157;AaegIR159;AaegIR158;AaegIR161;AaegIR160;AaegIR162;AaegIR164;AaegIR163;AaegIR166;AaegIR165;AaegIR168;AaegIR167;AaegIR172;AaegIR171;AaegIR170;AaegIR169;AaegIR127;AaegIR126;AaegIR118;AaegIR125;AaegIR124;AaegIR119;AaegIR123;AaegIR122;AaegIR121;AaegIR120;AaegIR128;AaegIR130;AaegIR129;AaegIR132;AaegIR131;AaegIR133;AaegIR137;AaegIR136;AaegIR135;AaegIR134;AaegIR138;AaegIR139;AaegIR141;AaegIR140;AaegIR142;AaegIR147;AaegIR148;AaegIR150;AaegIR149;AaegIR143;AaegIR144;AaegIR146;AaegIR145;AaegIR104;AaegIR103;AaegIR102;AaegIR101;DmelIR68b;DmelIR85a;DmelIR100a;DmelIR10a;AaegIR100d;AaegIR100c;AaegIR100b;AaegIR100a;DmelIR60a;AaegIR60a;AaegIR87a2;AaegIR87a1;DmelIR87a;AaegIR7a;CstyIR104;DmelIR7c;DmelIR7d;DmelIR7a;DmelIR11a;DmelIR7b;DmelIR7f;DmelIR7g;CstyIR102;DmelIR7e;AaegIR7b;AaegIR7d;AaegIR7c;AaegIR7f;AaegIR7i;AaegIR7k;AaegIR7j;AaegIR7e;AaegIR7h;AaegIR7g;AaegIR7l;AaegIR7r;AaegIR7q;AaegIR7p;AaegIR7o;AaegIR7n;AaegIR7m;AaegIR41p;CstyIR92a;DmelIR92a;CstyIR76a.1;DmelIR76a;DmelIR41a;CstyIR41a;CstyIR76a.2;AaegIR41b;AaegIR41a;AaegIR41f;AaegIR41e;AaegIR41d_pseudogene;AaegIR41c;AaegIR41o;AaegIR41n;AaegIR41m;AaegIR41l;AaegIR41k;AaegIR41j;AaegIR41i;AaegIR41h;AaegIR41g;AaegIR40a;CstyIR40a;DmelIR40a;DmelIR68a;AaegIR68a;AaegIR21a;DmelIR21a;CstyIR101;CstyIR106;AaegIR75a;AaegIR75c;AaegIR75b;DmelIR75a;DmelIR75c;DmelIR75b;AaegIR64a;CstyIR64a;DmelIR64a;AaegIR75l;AaegIR75k;CstyIR110;DmelIR84a;AaegIR75d;CstyIR108-109;CstyIR107;CstyIR75d;DmelIR75d;AaegIR75j;AaegIR75i;AaegIR75g;AaegIR75f;AaegIR75e;AaegIR75h;AaegIR93a;CstyIR93a;DmelIR93a;AaegIR76b;CstyIR76b;DmelIR76b;AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Calliphora stygia;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Calliphora stygia;Calliphora stygia;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,76,215,76,ortholog_group,Acid detection; Antennal tuning receptor; Antennal tuning receptor; acid/amine; Antennal tuning receptor; ammonia; Antennal tuning receptor; phenylacetic acid / phenylacetaldehyde; Co-receptor; salt/amine detection; Co-receptor; temperature/humidity; Humidity/temperature sensing; Ionotropic glutamate receptor-like; Ionotropic glutamate receptor-like; humidity; Obligate co-receptor (broad-spectrum); Tarsal contact chemoreception; Temperature sensing (cool); Temperature sensing (warm),Antennal IR (tuning receptor clade)
HillIR101,Ir101,XM_038063827.1,XP_037919755.1,IR,DmelIR48c;DmelIR48b;DmelIR60e;DmelIR67c;DmelIR67b;DmelIR56b;DmelIR56c;DmelIR62a;DmelIR51b;CstyIR103;DmelIR56d;DmelIR56a;DmelIR47a;DmelIR94a;DmelIR94c;DmelIR94b;DmelIR54a;CstyIR105;DmelIR52d;DmelIR52c;DmelIR52b;DmelIR52a;DmelIR94d;DmelIR60d;DmelIR60b;DmelIR94e;DmelIR94f;DmelIR20a;DmelIR94h;DmelIR94g;AaegIR106;AaegIR105;AaegIR107;AaegIR110;AaegIR109;AaegIR108;AaegIR111;AaegIR112;AaegIR117;AaegIR116;AaegIR113;AaegIR115;AaegIR114;AaegIR151;AaegIR154;AaegIR153;AaegIR152;AaegIR156;AaegIR155;AaegIR157;AaegIR159;AaegIR158;AaegIR161;AaegIR160;AaegIR162;AaegIR164;AaegIR163;AaegIR166;AaegIR165;AaegIR168;AaegIR167;AaegIR172;AaegIR171;AaegIR170;AaegIR169;AaegIR127;AaegIR126;AaegIR118;AaegIR125;AaegIR124;AaegIR119;AaegIR123;AaegIR122;AaegIR121;AaegIR120;AaegIR128;AaegIR130;AaegIR129;AaegIR132;AaegIR131;AaegIR133;AaegIR137;AaegIR136;AaegIR135;AaegIR134;AaegIR138;AaegIR139;AaegIR141;AaegIR140;AaegIR142;AaegIR147;AaegIR148;AaegIR150;AaegIR149;AaegIR143;AaegIR144;AaegIR146;AaegIR145;AaegIR104;AaegIR103;AaegIR102;AaegIR101;DmelIR68b;DmelIR85a;DmelIR100a;DmelIR10a;AaegIR100d;AaegIR100c;AaegIR100b;AaegIR100a;DmelIR60a;AaegIR60a;AaegIR87a2;AaegIR87a1;DmelIR87a;AaegIR7a;CstyIR104;DmelIR7c;DmelIR7d;DmelIR7a;DmelIR11a;DmelIR7b;DmelIR7f;DmelIR7g;CstyIR102;DmelIR7e;AaegIR7b;AaegIR7d;AaegIR7c;AaegIR7f;AaegIR7i;AaegIR7k;AaegIR7j;AaegIR7e;AaegIR7h;AaegIR7g;AaegIR7l;AaegIR7r;AaegIR7q;AaegIR7p;AaegIR7o;AaegIR7n;AaegIR7m;AaegIR41p;CstyIR92a;DmelIR92a;CstyIR76a.1;DmelIR76a;DmelIR41a;CstyIR41a;CstyIR76a.2;AaegIR41b;AaegIR41a;AaegIR41f;AaegIR41e;AaegIR41d_pseudogene;AaegIR41c;AaegIR41o;AaegIR41n;AaegIR41m;AaegIR41l;AaegIR41k;AaegIR41j;AaegIR41i;AaegIR41h;AaegIR41g;AaegIR40a;CstyIR40a;DmelIR40a;DmelIR68a;AaegIR68a;AaegIR21a;DmelIR21a;CstyIR101;CstyIR106;AaegIR75a;AaegIR75c;AaegIR75b;DmelIR75a;DmelIR75c;DmelIR75b;AaegIR64a;CstyIR64a;DmelIR64a;AaegIR75l;AaegIR75k;CstyIR110;DmelIR84a;AaegIR75d;CstyIR108-109;CstyIR107;CstyIR75d;DmelIR75d;AaegIR75j;AaegIR75i;AaegIR75g;AaegIR75f;AaegIR75e;AaegIR75h;AaegIR93a;CstyIR93a;DmelIR93a;AaegIR76b;CstyIR76b;DmelIR76b;AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Calliphora stygia;Calliphora stygia;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Calliphora stygia;Calliphora stygia;Aedes aegypti;Aedes aegypti;Aedes aegypti;Drosophila melanogaster;Drosophila melanogaster;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,76,215,76,ortholog_group,Acid detection; Antennal tuning receptor; Antennal tuning receptor; acid/amine; Antennal tuning receptor; ammonia; Antennal tuning receptor; phenylacetic acid / phenylacetaldehyde; Co-receptor; salt/amine detection; Co-receptor; temperature/humidity; Humidity/temperature sensing; Ionotropic glutamate receptor-like; Ionotropic glutamate receptor-like; humidity; Obligate co-receptor (broad-spectrum); Tarsal contact chemoreception; Temperature sensing (cool); Temperature sensing (warm),Antennal IR (tuning receptor clade)
HillIR11,Ir11,XM_038069888.1,XP_037906463.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR12,Ir12,XM_038068965.1,XP_037906463.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR13,Ir13,XM_038050535.1,XP_037906463.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR14,Ir14,XM_038056363.1,XP_037906463.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR15,Ir15,XM_038057698.1,XP_037913626.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
HillIR16,Ir16,XM_038055390.1,XP_037911318.1,IR,AaegIR8a;CstyIR8a;DmelIR8a;AaegIR31a2;AaegIR31a1;AaegIR25a;CstyIR25a;CstyIR31a;DmelIR31a;DmelIR25a,Aedes aegypti;Calliphora stygia;Drosophila melanogaster;Aedes aegypti;Aedes aegypti;Aedes aegypti;Calliphora stygia;Calliphora stygia;Drosophila melanogaster;Drosophila melanogaster,28,10,100,ortholog_group,Acid detection; Obligate co-receptor (broad-spectrum),
