Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
HillCSP9,CSP9,HillCSP9,XM_038052645.1,Hermetia illucens,Hill,CSP9,CSP,XP_037908573.1,XM_038052645.1,Chemosensory protein CSP9 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP1,CSP1,HillCSP1,XM_038067197.1,Hermetia illucens,Hill,CSP1,CSP,XP_037923125.1,XM_038067197.1,Chemosensory protein CSP1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP2,CSP2,HillCSP2,XM_038067198.1,Hermetia illucens,Hill,CSP2,CSP,XP_037923126.1,XM_038067198.1,Chemosensory protein CSP2 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP6,CSP6,HillCSP6,XM_038067716.1,Hermetia illucens,Hill,CSP6,CSP,XP_037923644.1,XM_038067716.1,Chemosensory protein CSP6 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP5,CSP5,HillCSP5,XM_038067718.1,Hermetia illucens,Hill,CSP5,CSP,XP_037923646.1,XM_038067718.1,Chemosensory protein CSP5 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP7,CSP7,HillCSP7,XM_038067719.1,Hermetia illucens,Hill,CSP7,CSP,XP_037923647.1,XM_038067719.1,Chemosensory protein CSP7 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP8,CSP8,HillCSP8,XM_038067720.1,Hermetia illucens,Hill,CSP8,CSP,XP_037923648.1,XM_038067720.1,Chemosensory protein CSP8 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP4,CSP4,HillCSP4,XM_038067721.1,Hermetia illucens,Hill,CSP4,CSP,XP_037923649.1,XM_038067721.1,Chemosensory protein CSP4 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP3,CSP3,HillCSP3,XM_038067722.1,Hermetia illucens,Hill,CSP3,CSP,XP_037923650.1,XM_038067722.1,Chemosensory protein CSP3 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillCSP10,CSP10,HillCSP10,XM_038067957.1,Hermetia illucens,Hill,CSP10,CSP,XP_037923885.1,XM_038067957.1,Chemosensory protein CSP10 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
DmelCSP1,DmelCSP1,,,Drosophila melanogaster,Dmel,CSP1,CSP,Q27377.2,Q27377.2,RecName: Full=Putative odorant-binding protein A10; AltName: Full=Antennal protein 10; AltName: Full=OS-D protein; Flags: Precursor,FlyBase/NCBI
DmelCSP2,DmelCSP2,,,Drosophila melanogaster,Dmel,CSP2,CSP,AAF49268.2,AAF49268.2,chemosensory protein A 75a [Drosophila melanogaster],FlyBase/NCBI
DmelCSP3,DmelCSP3,,,Drosophila melanogaster,Dmel,CSP3,CSP,NP_788004.1,NP_788004.1,chemosensory protein A 29a [Drosophila melanogaster],FlyBase/NCBI
DmelCSP4,DmelCSP4,,,Drosophila melanogaster,Dmel,CSP4,CSP,Q03751.1,Q03751.1,RecName: Full=DnaJ homolog subfamily C member 5 homolog; AltName: Full=Cysteine string protein,FlyBase/NCBI
MdomCSP1,MdomCSP1,,,Musca domestica,Mdom,CSP1,CSP,,,Musca domestica chemosensory protein; nomenclature follows Drosophila orthologs. Source: Xu et al. 2020 Front Physiol doi:10.3389/fphys.2020.00720,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomCSP2,MdomCSP2,,,Musca domestica,Mdom,CSP2,CSP,,,Musca domestica chemosensory protein; nomenclature follows Drosophila orthologs. Source: Xu et al. 2020 Front Physiol doi:10.3389/fphys.2020.00720,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomCSP3,MdomCSP3,,,Musca domestica,Mdom,CSP3,CSP,,,Musca domestica chemosensory protein; nomenclature follows Drosophila orthologs. Source: Xu et al. 2020 Front Physiol doi:10.3389/fphys.2020.00720,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomCSP4,MdomCSP4,,,Musca domestica,Mdom,CSP4,CSP,,,Musca domestica chemosensory protein; nomenclature follows Drosophila orthologs. Source: Xu et al. 2020 Front Physiol doi:10.3389/fphys.2020.00720,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
MdomCSP5,MdomCSP5,,,Musca domestica,Mdom,CSP5,CSP,,,Musca domestica chemosensory protein; nomenclature follows Drosophila orthologs. Source: Xu et al. 2020 Front Physiol doi:10.3389/fphys.2020.00720,NCBI RefSeq (Musca domestica GCA_000371365.1); see Xu et al. 2020
GmmCSP1,GmmCSP1,,,Glossina morsitans morsitans,Gmm,CSP1,CSP,CBA11327.1,CBA11327.1,chemosensory protein 1 [Glossina morsitans morsitans],VectorBase / NCBI (Glossina morsitans morsitans)
GmmCSP2,GmmCSP2,,,Glossina morsitans morsitans,Gmm,CSP2,CSP,CBA11328.1,CBA11328.1,chemosensory protein 2 [Glossina morsitans morsitans],VectorBase / NCBI (Glossina morsitans morsitans)
GmmCSP3,GmmCSP3,,,Glossina morsitans morsitans,Gmm,CSP3,CSP,CBA11329.1,CBA11329.1,chemosensory protein 3 [Glossina morsitans morsitans],VectorBase / NCBI (Glossina morsitans morsitans)
GmmCSP4,GmmCSP4,,,Glossina morsitans morsitans,Gmm,CSP4,CSP,CBA11330.1,CBA11330.1,chemosensory protein 4 [Glossina morsitans morsitans],VectorBase / NCBI (Glossina morsitans morsitans)
GmmCSP5,GmmCSP5,,,Glossina morsitans morsitans,Gmm,CSP5,CSP,CBA11331.1,CBA11331.1,chemosensory protein 5 [Glossina morsitans morsitans],VectorBase / NCBI (Glossina morsitans morsitans)
