Tree_ID,Original_FASTA_ID,Hill_ID,Transcript_ID,Species,Species_code,Gene_symbol,Family,Protein_accession,Accession_ID,NCBI_description,Database_source
HillGR14,GR14,HillGR14,XM_038047598.1,Hermetia illucens,Hill,GR14,GR,XP_037903526.1,XM_038047598.1,Gustatory receptor GR14 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR13,GR13,HillGR13,XM_038047599.1,Hermetia illucens,Hill,GR13,GR,XP_037903526.1,XM_038047599.1,Gustatory receptor GR13 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR15,GR15,HillGR15,XM_038047600.1,Hermetia illucens,Hill,GR15,GR,XP_037903526.1,XM_038047600.1,Gustatory receptor GR15 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR12,GR12,HillGR12,XM_038047601.1,Hermetia illucens,Hill,GR12,GR,XP_037903526.1,XM_038047601.1,Gustatory receptor GR12 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR9,GR9,HillGR9,XM_038047879.1,Hermetia illucens,Hill,GR9,GR,XP_037903807.1,XM_038047879.1,Gustatory receptor GR9 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR10,GR10,HillGR10,XM_038047880.1,Hermetia illucens,Hill,GR10,GR,XP_037903808.1,XM_038047880.1,Gustatory receptor GR10 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR11,GR11,HillGR11,XM_038047881.1,Hermetia illucens,Hill,GR11,GR,XP_037903809.1,XM_038047881.1,Gustatory receptor GR11 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR39,GR39,HillGR39,XM_038048382.1,Hermetia illucens,Hill,GR39,GR,XP_037904310.1,XM_038048382.1,Gustatory receptor GR39 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR24,GR24,HillGR24,XM_038049572.1,Hermetia illucens,Hill,GR24,GR,XP_037905500.1,XM_038049572.1,Gustatory receptor GR24 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR38,GR38,HillGR38,XM_038050309.1,Hermetia illucens,Hill,GR38,GR,XP_037906237.1,XM_038050309.1,Gustatory receptor GR38 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR36,GR36,HillGR36,XM_038050310.1,Hermetia illucens,Hill,GR36,GR,XP_037906238.1,XM_038050310.1,Gustatory receptor GR36 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR31,GR31,HillGR31,XM_038050314.1,Hermetia illucens,Hill,GR31,GR,XP_037906242.1,XM_038050314.1,Gustatory receptor GR31 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR5,GR5,HillGR5,XM_038051358.1,Hermetia illucens,Hill,GR5,GR,XP_037907286.1,XM_038051358.1,Gustatory receptor GR5 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR3,GR3,HillGR3,XM_038052002.1,Hermetia illucens,Hill,GR3,GR,XP_037907930.1,XM_038052002.1,Gustatory receptor GR3 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR37,GR37,HillGR37,XM_038052209.1,Hermetia illucens,Hill,GR37,GR,XP_037908137.1,XM_038052209.1,Gustatory receptor GR37 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR1,GR1,HillGR1,XM_038054377.1,Hermetia illucens,Hill,GR1,GR,XP_037910305.1,XM_038054377.1,Gustatory receptor GR1 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR2,GR2,HillGR2,XM_038056090.1,Hermetia illucens,Hill,GR2,GR,XP_037912018.1,XM_038056090.1,Gustatory receptor GR2 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR4,GR4,HillGR4,XM_038056147.1,Hermetia illucens,Hill,GR4,GR,XP_037912075.1,XM_038056147.1,Gustatory receptor GR4 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR41,GR41,HillGR41,XM_038057268.1,Hermetia illucens,Hill,GR41,GR,XP_037913196.1,XM_038057268.1,Gustatory receptor GR41 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR30,GR30,HillGR30,XM_038058890.1,Hermetia illucens,Hill,GR30,GR,XP_037914818.1,XM_038058890.1,Gustatory receptor GR30 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR17,GR17,HillGR17,XM_038059053.1,Hermetia illucens,Hill,GR17,GR,XP_037914981.1,XM_038059053.1,Gustatory receptor GR17 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR16,GR16,HillGR16,XM_038059054.1,Hermetia illucens,Hill,GR16,GR,XP_037914982.1,XM_038059054.1,Gustatory receptor GR16 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR18,GR18,HillGR18,XM_038059055.1,Hermetia illucens,Hill,GR18,GR,XP_037914983.1,XM_038059055.1,Gustatory receptor GR18 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR21,GR21,HillGR21,XM_038059056.1,Hermetia illucens,Hill,GR21,GR,XP_037914984.1,XM_038059056.1,Gustatory receptor GR21 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR20,GR20,HillGR20,XM_038059058.1,Hermetia illucens,Hill,GR20,GR,XP_037914986.1,XM_038059058.1,Gustatory receptor GR20 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR19,GR19,HillGR19,XM_038059059.1,Hermetia illucens,Hill,GR19,GR,XP_037914987.1,XM_038059059.1,Gustatory receptor GR19 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR22,GR22,HillGR22,XM_038059060.1,Hermetia illucens,Hill,GR22,GR,XP_037914988.1,XM_038059060.1,Gustatory receptor GR22 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR7,GR7,HillGR7,XM_038060221.1,Hermetia illucens,Hill,GR7,GR,XP_037916149.1,XM_038060221.1,Gustatory receptor GR7 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
HillGR6,GR6,HillGR6,XM_038060222.1,Hermetia illucens,Hill,GR6,GR,XP_037916150.1,XM_038060222.1,Gustatory receptor GR6 [Hermetia illucens]; gene name based on Drosophila ortholog nomenclature; see accompanying FASTA for sequence,NCBI (Hermetia illucens genome GCF_905115235.1)
