Hill_ID,Hill_gene_symbol,Transcript_ID,Protein_accession,Family,Nearest_outgroup_genes,Nearest_outgroup_species,n_Hill_in_clade,n_outgroup_in_clade,Bootstrap_support,Orthology_type,Putative_function_from_Dmel,Notes
HillCSP1,Csp1,XM_038067197.1,XP_037923125.1,CSP,MdomCSP5,Musca domestica,1,1,75,1:1_ortholog,Unknown,
HillCSP2,Csp2,XM_038067198.1,XP_037923126.1,CSP,BdorCSP3; GmmCSP2; MdomCSP3,Bactrocera dorsalis; Glossina morsitans morsitans; Musca domestica,1,3,100,co-ortholog,Unknown,
HillCSP3,Csp3,XM_038067722.1,XP_037923650.1,CSP,BdorCSP3; GmmCSP2; MdomCSP3; BdorCSP2; DmelCSP3; DmelCSP2; GmmCSP3; MdomCSP2; GmmCSP1; MdomCSP5,Bactrocera dorsalis; Glossina morsitans morsitans; Musca domestica; Drosophila melanogaster,8,10,62,ortholog_group,DmelCSP3: CheA29a; expressed in chemosensory neurons; DmelCSP2: CheA75a; expressed in taste neurons and chemosensory bristles,"Co-expands with HillCSP4, HillCSP7, HillCSP8, HillCSP5, HillCSP6, HillCSP2, HillCSP1"
HillCSP4,Csp4,XM_038067721.1,XP_037923649.1,CSP,BdorCSP3; GmmCSP2; MdomCSP3; BdorCSP2; DmelCSP3; DmelCSP2; GmmCSP3; MdomCSP2; GmmCSP1; MdomCSP5,Bactrocera dorsalis; Glossina morsitans morsitans; Musca domestica; Drosophila melanogaster,8,10,62,ortholog_group,DmelCSP3: CheA29a; expressed in chemosensory neurons; DmelCSP2: CheA75a; expressed in taste neurons and chemosensory bristles,"Co-expands with HillCSP3, HillCSP7, HillCSP8, HillCSP5, HillCSP6, HillCSP2, HillCSP1"
HillCSP5,Csp5,XM_038067718.1,XP_037923646.1,CSP,BdorCSP3; GmmCSP2; MdomCSP3; BdorCSP2; DmelCSP3; DmelCSP2; GmmCSP3; MdomCSP2; GmmCSP1; MdomCSP5,Bactrocera dorsalis; Glossina morsitans morsitans; Musca domestica; Drosophila melanogaster,6,10,59,ortholog_group,DmelCSP3: CheA29a; expressed in chemosensory neurons; DmelCSP2: CheA75a; expressed in taste neurons and chemosensory bristles,"Co-expands with HillCSP7, HillCSP8, HillCSP6, HillCSP2, HillCSP1"
HillCSP6,Csp6,XM_038067716.1,XP_037923644.1,CSP,BdorCSP3; GmmCSP2; MdomCSP3; BdorCSP2; DmelCSP3; DmelCSP2; GmmCSP3; MdomCSP2; GmmCSP1; MdomCSP5,Bactrocera dorsalis; Glossina morsitans morsitans; Musca domestica; Drosophila melanogaster,6,10,59,ortholog_group,DmelCSP3: CheA29a; expressed in chemosensory neurons; DmelCSP2: CheA75a; expressed in taste neurons and chemosensory bristles,"Co-expands with HillCSP7, HillCSP8, HillCSP5, HillCSP2, HillCSP1"
HillCSP7,Csp7,XM_038067719.1,XP_037923647.1,CSP,BdorCSP3; GmmCSP2; MdomCSP3; BdorCSP2; DmelCSP3; DmelCSP2; GmmCSP3; MdomCSP2; GmmCSP1; MdomCSP5,Bactrocera dorsalis; Glossina morsitans morsitans; Musca domestica; Drosophila melanogaster,6,10,59,ortholog_group,DmelCSP3: CheA29a; expressed in chemosensory neurons; DmelCSP2: CheA75a; expressed in taste neurons and chemosensory bristles,"Co-expands with HillCSP8, HillCSP5, HillCSP6, HillCSP2, HillCSP1"
HillCSP8,Csp8,XM_038067720.1,XP_037923648.1,CSP,BdorCSP3; GmmCSP2; MdomCSP3; BdorCSP2; DmelCSP3; DmelCSP2; GmmCSP3; MdomCSP2; GmmCSP1; MdomCSP5,Bactrocera dorsalis; Glossina morsitans morsitans; Musca domestica; Drosophila melanogaster,6,10,59,ortholog_group,DmelCSP3: CheA29a; expressed in chemosensory neurons; DmelCSP2: CheA75a; expressed in taste neurons and chemosensory bristles,"Co-expands with HillCSP7, HillCSP5, HillCSP6, HillCSP2, HillCSP1"
HillCSP9,Csp9,XM_038052645.1,XP_037908573.1,CSP,BdorCSP4; DmelCSP4; GmmCSP5; MdomCSP4; DmelCSP1; MdomCSP1; GmmCSP4; BdorCSP1; BdorCSP3; GmmCSP2; MdomCSP3; BdorCSP2; DmelCSP3; DmelCSP2; GmmCSP3; MdomCSP2; GmmCSP1; MdomCSP5,Bactrocera dorsalis; Drosophila melanogaster; Glossina morsitans morsitans; Musca domestica,10,18,NA,ortholog_group,DmelCSP4: Cysteine string protein (Csp); HSP40 co-chaperone at synaptic terminals; NOT a canonical chemosensory CSP – convergent naming; DmelCSP1: OS-D / putative odorant-binding protein A10; expressed in antennae and chemosensory neurons (Angeli et al. 1999); DmelCSP3: CheA29a; expressed in chemosensory neurons; DmelCSP2: CheA75a; expressed in taste neurons and chemosensory bristles,"Co-expands with HillCSP10, HillCSP3, HillCSP4, HillCSP7, HillCSP8, HillCSP5, HillCSP6, HillCSP2, HillCSP1"
HillCSP10,Csp10,XM_038067957.1,XP_037923885.1,CSP,DmelCSP4; GmmCSP5; MdomCSP4,Drosophila melanogaster; Glossina morsitans morsitans; Musca domestica,1,3,87,co-ortholog,DmelCSP4: Cysteine string protein (Csp); HSP40 co-chaperone at synaptic terminals; NOT a canonical chemosensory CSP – convergent naming,
