,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR112,,0.0,58.871,0.0,4.8,4.878,4.839,2.4,4.839,4.839,4.839,4.839,4.839,4.839,5.645,5.645,5.645,5.645,4.839,4.839,4.839,4.839,4.839,4.839,4.032,4.839,2.4,46.774,43.548,41.129,41.935,42.742,44.355,45.968,44.0,48.0,47.2,44.8,44.0,48.649,48.182,46.774,46.364,45.968,34.677,48.182,48.387,47.581,45.968,52.344,52.344,46.957,38.519,45.313,48.062,50.0,35.938,44.094,45.313,0.0,29.412,44.094,20.513,41.732,45.669,47.244,49.02,47.244,46.457,47.656,46.875,52.344,51.563,49.219,49.219,49.219,47.656,50.0,49.219,49.219,49.219,49.219,52.344,49.219,54.688,47.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,33.594,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR36,0.0,,81.016,76.0,83.422,84.416,81.154,80.769,78.342,75.134,82.418,79.07,79.947,74.866,49.465,79.947,74.599,84.322,81.283,80.749,81.283,81.551,84.746,82.62,81.283,81.283,81.016,35.196,42.049,42.318,32.934,44.205,36.134,43.127,43.562,40.0,39.726,42.935,34.409,43.75,43.75,43.478,43.478,40.761,40.761,44.022,39.402,45.109,43.75,9.045,23.925,23.925,25.852,27.446,28.533,26.359,26.359,26.064,24.533,26.486,19.73,24.865,25.135,23.316,24.093,11.257,0.0,27.027,26.486,26.4,43.127,26.4,25.867,7.101,28.0,28.0,19.835,28.184,20.8,25.6,18.595,7.101,27.467,12.022,23.565,26.933,46.032,37.432,37.432,47.268,47.185,44.414,44.262,41.53,45.679,43.716,42.896,41.803,38.525,37.255,37.255,39.256,35.294,38.798,41.962,38.889,38.973,38.564,38.507,44.142,46.175,49.64,44.293,45.968,28.086,24.211,26.357,26.471,27.649,27.649,25.581,31.25,26.098,26.615,26.098,25.581,27.02,27.068,28.07,24.893,28.623,28.986,28.256,27.518,24.686,24.686,30.829,31.347,25.57,23.956,31.592,31.127,39.286,34.08,29.262,32.663,43.243,33.417,30.035,29.455,36.872,28.312,37.097,26.545,26.389,28.993,31.111,29.383,30.389,35.366,35.366,28.325,25.392,39.552,27.586,40.602,49.057,45.5,29.71,26.79,24.279,26.79,26.292,27.586,24.48,23.326,0.0,37.337,34.367,37.371,37.371,38.421,38.107,31.622,39.326,44.538,31.152,32.984,33.77,32.461,33.508,33.992
OR29,58.871,81.016,,92.0,53.846,27.737,52.838,50.0,58.261,54.435,45.0,55.72,56.348,53.217,36.348,57.565,53.391,50.23,58.957,57.739,59.652,58.957,25.292,61.391,61.565,61.565,59.13,33.156,39.895,38.489,32.055,40.773,36.009,40.07,40.675,39.609,39.787,39.576,34.801,41.41,41.486,41.519,40.942,39.223,36.926,42.21,39.753,42.933,42.049,27.182,30.488,29.947,28.164,30.526,31.754,31.404,27.544,28.769,27.21,26.157,22.176,30.123,24.33,28.475,28.983,19.726,54.902,31.874,31.349,31.542,43.624,32.756,32.409,26.146,32.756,32.236,30.18,33.625,28.423,31.716,29.73,25.876,32.582,27.013,31.144,32.062,46.032,36.979,37.5,47.013,46.684,43.299,42.894,41.344,45.355,42.67,40.104,39.844,36.719,35.294,35.747,41.825,35.556,38.903,41.406,40.0,41.379,38.168,41.194,40.0,43.229,47.134,40.933,44.73,28.395,22.906,25.679,25.978,25.495,25.926,23.704,28.462,26.914,27.407,26.42,25.185,28.329,27.751,29.356,25.102,28.669,27.986,29.717,28.538,25.253,25.253,30.446,31.436,27.952,26.36,33.726,33.256,41.748,34.988,29.952,31.894,43.137,34.053,30.0,29.412,35.025,28.395,35.417,26.739,26.997,30.769,31.002,30.374,30.033,34.783,34.783,27.209,24.852,37.908,29.673,38.158,49.254,47.291,30.272,25.771,22.883,25.771,25.322,28.247,25.991,22.815,25.847,31.194,33.012,35.096,36.181,38.346,37.53,31.026,36.842,43.066,29.75,33.0,32.75,33.0,33.0,33.948
OR59,0.0,76.0,92.0,,75.6,0.0,83.088,83.088,82.4,78.8,86.207,82.273,82.0,74.4,34.4,83.2,73.6,84.821,84.4,83.6,83.6,84.0,0.0,87.2,86.8,86.8,86.8,72.727,55.466,54.251,76.744,57.085,60.526,57.49,58.091,54.772,55.602,55.738,50.323,58.197,58.197,56.967,56.967,58.197,58.197,58.197,51.639,57.787,57.787,29.333,34.677,34.677,41.228,40.574,41.803,41.393,41.393,40.476,35.06,42.276,32.114,41.057,41.057,37.023,35.496,17.829,0.0,41.463,41.057,41.036,46.559,43.426,41.434,28.889,42.231,42.231,43.22,45.714,33.068,41.036,44.068,31.111,42.629,42.373,40.097,41.434,50.0,39.669,36.364,45.455,46.586,41.975,41.736,39.256,50.0,42.562,40.496,40.496,40.496,25.0,25.0,38.136,25.0,36.364,37.86,34.756,39.13,34.921,37.603,35.391,39.669,20.0,40.574,43.145,30.116,19.922,25.856,24.537,25.095,25.095,24.715,0.0,27.376,27.376,26.236,24.335,24.632,27.636,28.0,23.684,27.632,27.632,26.596,25.532,21.751,21.751,25.191,26.718,26.667,22.601,29.496,28.873,0.0,34.173,25.651,29.927,52.459,32.482,27.044,28.929,32.727,27.203,0.0,24.232,25.979,27.208,28.47,30.961,27.044,35.0,35.0,23.404,15.897,30.0,25.177,33.333,50.943,50.0,23.179,22.801,21.993,21.498,21.003,22.561,20.521,21.498,0.0,35.019,33.333,35.496,35.496,40.157,38.868,32.51,29.078,0.0,25.391,28.906,28.906,27.734,28.516,29.134
OR38,4.8,83.422,53.846,75.6,,86.364,79.412,75.458,77.202,75.389,81.443,78.09,80.052,75.13,48.964,78.238,72.28,80.645,79.793,78.756,79.016,80.829,81.69,80.052,79.534,80.052,77.003,26.966,35.512,33.551,22.745,36.166,29.448,36.166,36.123,35.242,35.683,33.698,26.902,36.569,36.878,35.088,34.842,33.185,34.491,35.068,32.237,38.158,35.088,8.023,17.816,16.896,19.323,21.042,21.002,19.305,20.492,20.381,18.476,26.302,17.949,20.231,20.915,18.692,19.065,9.56,8.081,20.617,20.424,20.0,29.772,21.143,20.571,6.27,21.333,21.456,14.541,21.195,16.952,20.952,14.541,6.897,20.952,9.61,18.087,21.714,40.476,35.958,36.745,44.503,44.216,40.519,41.406,38.542,40.556,42.744,41.207,40.157,37.533,32.11,32.11,35.769,30.631,36.842,39.895,38.411,37.391,36.41,38.806,39.529,44.357,46.753,41.253,43.523,26.852,21.34,26.119,25.915,28.0,28.0,26.0,24.615,27.114,27.16,26.866,26.119,28.049,25.301,27.644,23.347,27.931,27.931,27.553,27.553,24.593,24.593,28.429,29.676,23.716,22.947,29.665,29.245,30.0,32.614,27.696,29.952,38.806,31.401,30.303,27.685,32.474,26.119,31.206,27.313,26.944,27.66,29.078,28.91,27.667,29.834,29.834,24.764,24.179,34.667,27.725,35.57,46.792,47.5,25.773,23.661,21.81,23.438,23.043,23.279,21.652,17.271,3.933,19.201,31.841,35.484,36.203,35.606,37.101,28.424,31.915,36.567,28.967,30.73,29.975,29.471,29.723,29.851
OR94,4.878,84.416,27.737,0.0,86.364,,85.227,73.864,86.364,87.5,86.364,86.364,87.5,87.5,87.5,87.5,87.5,87.5,90.909,88.636,87.5,89.773,78.571,86.364,87.5,89.773,77.273,4.268,4.268,4.268,4.268,4.268,4.878,4.878,4.878,6.098,5.488,3.659,3.659,0.0,0.662,3.659,0.662,3.822,4.286,0.662,3.659,3.659,3.659,3.097,3.097,0.0,3.54,3.54,3.54,3.54,4.082,3.097,3.097,0.0,0.0,3.556,0.0,3.556,3.556,2.765,7.143,3.111,3.111,3.54,16.667,3.097,3.54,3.097,3.097,3.139,3.982,3.097,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,0.0,36.957,39.13,47.312,46.237,35.789,32.632,34.737,34.737,41.111,36.957,39.13,26.087,38.462,38.462,36.842,36.842,39.56,41.758,39.56,38.462,38.462,45.652,42.391,47.826,44.565,42.391,40.659,5.556,25.0,30.435,30.435,31.111,31.111,31.111,26.316,26.087,26.316,26.087,26.087,29.67,29.032,32.979,28.421,29.67,29.67,31.868,30.769,34.066,34.066,38.043,36.957,33.696,27.619,32.258,32.258,31.183,32.609,32.609,32.258,32.258,32.258,35.165,28.261,33.696,35.106,34.043,30.702,46.875,37.634,35.789,35.106,32.979,32.979,32.979,36.842,34.409,35.484,35.484,35.484,0.0,0.0,35.87,34.783,34.783,33.696,33.696,35.87,35.87,17.647,3.977,9.402,36.957,39.13,42.857,39.785,36.559,33.684,40.217,38.043,34.783,35.87,38.043,35.87,35.87,35.87
OR44,4.839,81.154,52.838,83.088,79.412,85.227,,94.485,87.868,82.721,88.66,84.191,88.235,81.618,69.118,91.176,91.176,92.742,90.441,89.338,89.338,90.074,88.732,90.441,89.338,90.074,84.926,27.341,34.77,34.77,27.843,33.908,30.675,32.471,32.759,33.333,33.046,31.322,27.874,31.642,32.036,31.609,30.838,29.326,30.864,32.635,33.333,33.908,33.908,8.023,13.075,11.75,13.35,13.592,14.32,13.107,14.136,14.599,13.35,18.412,9.627,15.049,14.773,14.078,14.32,1.746,8.081,15.534,15.049,14.078,29.004,14.806,16.019,6.583,15.777,15.892,15.306,16.99,11.408,16.262,15.051,7.21,16.748,9.61,15.534,15.291,50.794,40.217,38.406,48.736,49.097,42.294,39.427,37.993,43.333,43.066,41.304,42.029,37.319,35.321,35.321,39.231,33.333,40.727,38.545,37.455,37.818,38.182,40.0,41.155,45.652,46.104,44.565,45.357,29.327,21.951,25.524,26.224,29.577,29.577,26.056,26.154,27.273,27.336,27.622,26.923,28.094,28.0,27.907,25.562,30.0,29.31,27.541,26.23,25.067,25.067,32.517,33.217,26.829,25.77,33.559,32.89,38.0,34.354,34.354,33.22,43.284,35.254,27.397,31.944,33.505,27.703,31.915,26.687,30.043,30.612,29.392,29.153,28.136,30.939,30.939,29.966,24.478,38.0,33.559,38.255,51.02,51.22,29.553,29.721,25.163,28.483,28.483,27.541,27.554,20.971,3.955,17.169,33.677,35.274,36.268,36.934,38.408,29.553,35.461,40.299,32.639,35.069,34.375,33.681,33.681,33.582
OR45,2.4,80.769,50.0,83.088,75.458,73.864,94.485,,82.721,77.574,81.443,79.044,83.088,76.471,63.971,86.029,86.029,87.097,85.662,84.191,84.191,84.926,71.831,85.662,84.926,84.926,84.058,24.345,32.471,32.471,25.098,32.184,28.834,30.747,30.946,30.372,30.372,29.429,26.0,31.642,31.737,29.598,30.539,27.273,28.704,32.335,31.322,31.897,31.897,7.163,12.349,12.0,11.165,11.408,12.107,10.922,11.78,12.652,11.408,18.412,9.627,13.592,14.773,12.379,12.621,0.249,1.01,13.835,13.35,12.621,27.489,13.592,14.563,4.702,14.32,14.425,13.52,15.534,9.709,14.563,13.265,5.016,15.049,7.508,14.078,13.835,50.794,40.217,38.406,48.736,49.097,42.294,39.427,37.993,43.333,43.066,41.304,42.029,37.319,35.321,35.321,39.231,33.333,40.727,38.545,37.455,37.818,38.182,40.0,41.155,45.652,46.104,44.565,45.357,29.327,21.951,25.524,26.224,29.225,29.225,25.704,25.385,27.273,26.99,27.622,26.923,28.094,28.0,27.907,25.562,30.0,29.31,27.541,26.23,25.067,25.067,32.517,33.217,26.829,25.77,33.559,32.89,38.0,34.354,34.354,33.22,43.284,35.254,27.397,31.944,33.505,27.703,31.915,26.687,30.043,30.612,29.392,29.153,28.136,30.939,30.939,29.966,24.478,38.0,33.559,38.255,51.02,51.22,29.553,29.721,25.163,28.483,28.483,27.541,27.554,19.383,0.562,15.789,33.677,35.274,36.268,36.934,38.408,29.553,35.461,40.299,32.639,35.069,34.375,33.681,33.681,33.582
OR34,4.839,78.342,58.261,82.4,77.202,86.364,87.868,82.721,,79.898,92.784,84.27,83.461,79.135,54.198,85.242,80.153,88.71,86.768,85.242,87.023,84.987,90.141,86.514,86.514,87.023,83.206,26.966,38.78,38.562,28.627,37.473,31.288,37.691,36.203,35.099,34.879,36.404,30.245,36.343,36.652,36.842,36.652,34.967,36.343,38.009,35.088,40.789,38.377,8.309,18.391,17.485,19.522,20.656,20.849,19.691,20.902,21.143,18.476,26.563,17.716,20.424,21.133,19.188,18.635,9.56,8.081,21.002,20.424,20.381,30.823,21.143,20.19,6.27,21.333,21.456,14.796,22.929,17.333,20.952,14.286,7.21,21.524,9.61,18.919,20.381,50.0,36.483,37.533,47.382,47.301,43.636,41.927,41.146,44.444,44.855,42.257,42.782,39.37,33.945,33.945,38.077,31.532,37.105,39.108,37.748,40.0,37.692,39.403,41.099,44.094,45.455,43.081,45.078,27.778,22.581,25.373,25.634,26.0,26.0,23.75,25.385,25.871,25.926,26.368,24.627,26.829,28.434,29.327,23.014,29.31,28.621,28.504,27.553,25.0,25.0,28.678,29.925,25.721,23.158,31.294,30.858,38.0,35.629,29.854,32.367,42.786,34.3,29.293,27.465,34.536,26.119,33.333,24.512,26.703,29.302,29.07,28.438,27.667,31.492,31.492,28.538,24.478,36.667,29.138,36.913,46.324,49.275,29.21,26.593,23.059,25.714,25.268,27.541,25.275,19.316,3.39,19.484,35.323,34.739,35.443,37.626,36.473,30.233,35.461,42.537,28.715,32.494,32.997,32.242,33.249,33.955
OR25,4.839,75.134,54.435,78.8,75.389,87.5,82.721,77.574,79.898,,93.814,95.787,81.425,77.099,50.127,78.372,72.774,83.065,81.425,83.715,81.679,84.733,88.732,82.697,82.443,82.952,79.135,25.094,36.601,36.601,25.098,38.126,29.448,36.383,35.541,35.762,36.203,35.307,27.793,37.246,37.557,35.307,35.068,34.744,36.111,36.878,33.772,37.5,37.281,7.736,17.433,16.503,18.725,19.305,20.077,19.112,20.287,18.857,16.952,22.656,16.084,17.919,18.301,17.159,16.605,8.987,8.081,19.075,18.69,21.333,31.524,20.762,21.333,6.27,21.333,21.456,15.051,21.773,17.714,21.333,14.286,6.897,21.333,9.309,19.335,18.476,50.794,36.22,35.958,43.455,44.73,40.0,39.063,37.5,42.222,41.425,39.633,39.108,35.433,35.321,35.321,36.923,31.982,35.526,37.008,35.762,37.681,36.667,37.91,37.958,42.782,42.857,40.992,43.523,26.852,21.836,27.114,26.197,27.0,27.0,24.75,23.846,27.612,27.654,26.866,25.622,26.585,25.542,26.683,24.033,27.931,28.276,29.454,28.266,25.0,25.0,28.678,29.177,26.442,22.947,31.059,30.626,37.0,32.067,27.67,31.401,40.299,32.367,28.62,25.117,32.99,25.622,32.624,25.813,25.068,27.674,28.14,28.438,28.0,28.729,28.729,28.538,24.179,34.0,27.273,34.899,46.324,45.411,28.179,25.275,22.603,24.176,23.769,27.213,23.077,17.607,3.39,19.484,32.836,35.236,35.949,37.626,36.473,29.974,33.688,38.06,27.96,29.723,28.967,29.723,28.967,30.97
